chainsize	ss	mean	dev	err
4	1	2.0168	1.42727764367947	0.0142727764367947
4	2	NA	NA	NA
4	3	NA	NA	NA
4	4	NA	NA	NA
4	5	NA	NA	NA
4	6	NA	NA	NA
4	7	NA	NA	NA
4	8	NA	NA	NA
4	9	NA	NA	NA
4	10	NA	NA	NA
4	11	NA	NA	NA
4	12	NA	NA	NA
4	13	NA	NA	NA
4	14	NA	NA	NA
4	15	NA	NA	NA
4	16	NA	NA	NA
4	17	NA	NA	NA
4	18	NA	NA	NA
4	19	NA	NA	NA
4	20	NA	NA	NA
4	21	NA	NA	NA
4	22	NA	NA	NA
4	23	NA	NA	NA
4	24	NA	NA	NA
4	25	NA	NA	NA
4	26	NA	NA	NA
4	27	NA	NA	NA
4	28	NA	NA	NA
4	29	NA	NA	NA
4	30	NA	NA	NA
4	31	NA	NA	NA
4	32	NA	NA	NA
4	33	NA	NA	NA
4	34	NA	NA	NA
4	35	NA	NA	NA
4	36	NA	NA	NA
4	37	NA	NA	NA
4	38	NA	NA	NA
4	39	NA	NA	NA
4	40	NA	NA	NA
4	41	NA	NA	NA
4	42	NA	NA	NA
4	43	NA	NA	NA
4	44	NA	NA	NA
4	45	NA	NA	NA
4	46	NA	NA	NA
4	47	NA	NA	NA
4	48	NA	NA	NA
4	49	NA	NA	NA
4	50	NA	NA	NA
4	51	NA	NA	NA
4	52	NA	NA	NA
4	53	NA	NA	NA
4	54	NA	NA	NA
4	55	NA	NA	NA
4	56	NA	NA	NA
4	57	NA	NA	NA
4	58	NA	NA	NA
4	59	NA	NA	NA
4	60	NA	NA	NA
4	61	NA	NA	NA
4	62	NA	NA	NA
4	63	NA	NA	NA
4	64	NA	NA	NA
4	65	NA	NA	NA
4	66	NA	NA	NA
4	67	NA	NA	NA
4	68	NA	NA	NA
4	69	NA	NA	NA
4	70	NA	NA	NA
4	71	NA	NA	NA
4	72	NA	NA	NA
4	73	NA	NA	NA
4	74	NA	NA	NA
4	75	NA	NA	NA
4	76	NA	NA	NA
4	77	NA	NA	NA
4	78	NA	NA	NA
4	79	NA	NA	NA
4	80	NA	NA	NA
4	81	NA	NA	NA
4	82	NA	NA	NA
4	83	NA	NA	NA
4	84	NA	NA	NA
4	85	NA	NA	NA
4	86	NA	NA	NA
4	87	NA	NA	NA
4	88	NA	NA	NA
4	89	NA	NA	NA
4	90	NA	NA	NA
4	91	NA	NA	NA
4	92	NA	NA	NA
4	93	NA	NA	NA
4	94	NA	NA	NA
4	95	NA	NA	NA
4	96	NA	NA	NA
4	97	NA	NA	NA
4	98	NA	NA	NA
4	99	NA	NA	NA
4	100	NA	NA	NA
4	101	NA	NA	NA
4	102	NA	NA	NA
4	103	NA	NA	NA
4	104	NA	NA	NA
4	105	NA	NA	NA
4	106	NA	NA	NA
4	107	NA	NA	NA
4	108	NA	NA	NA
4	109	NA	NA	NA
4	110	NA	NA	NA
4	111	NA	NA	NA
4	112	NA	NA	NA
4	113	NA	NA	NA
4	114	NA	NA	NA
4	115	NA	NA	NA
4	116	NA	NA	NA
4	117	NA	NA	NA
4	118	NA	NA	NA
4	119	NA	NA	NA
4	120	NA	NA	NA
4	121	NA	NA	NA
4	122	NA	NA	NA
4	123	NA	NA	NA
4	124	NA	NA	NA
4	125	NA	NA	NA
4	126	NA	NA	NA
4	127	NA	NA	NA
4	128	NA	NA	NA
4	129	NA	NA	NA
4	130	NA	NA	NA
4	131	NA	NA	NA
4	132	NA	NA	NA
4	133	NA	NA	NA
4	134	NA	NA	NA
4	135	NA	NA	NA
4	136	NA	NA	NA
4	137	NA	NA	NA
4	138	NA	NA	NA
4	139	NA	NA	NA
4	140	NA	NA	NA
4	141	NA	NA	NA
4	142	NA	NA	NA
4	143	NA	NA	NA
4	144	NA	NA	NA
4	145	NA	NA	NA
4	146	NA	NA	NA
4	147	NA	NA	NA
4	148	NA	NA	NA
4	149	NA	NA	NA
6	1	10.3581	13.5916201243178	0.135916201243178
6	2	3.9964	3.50091597746477	0.0350091597746477
6	3	NA	NA	NA
6	4	NA	NA	NA
6	5	NA	NA	NA
6	6	NA	NA	NA
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
